seqn,household_income,gender,age,education_level,household_size
75993,"100,000 and Over",Male,48,Some College or AA degree,3
75996,"20,000 and Over",Male,61,High School Grad/GED or equivalent,5
75997,"15,000 to 19,999",Female,20,Some College or AA degree,1
75998,"75,000 to 99,999",Female,76,College Graduate or above,2
75999," 5,000 to  9,999",Male,19,College Graduate or above,3
76004,,Female,58,High School Grad/GED or equivalent,1
76006," 5,000 to  9,999",Female,32,Some College or AA degree,1
76007,"100,000 and Over",Female,36,Some College or AA degree,4
76008,"35,000 to 44,999",Female,31,Some College or AA degree,5
76010,"20,000 to 24,999",Male,68,<9th Grade,3
76011,"15,000 to 19,999",Female,32,Some College or AA degree,4
76012,"55,000 to 64,999",Male,59,,4
76015,"100,000 and Over",Female,30,High School Grad/GED or equivalent,2
76016,"45,000 to 54,999",Male,79,College Graduate or above,2
76018,"25,000 to 34,999",Male,31,Some College or AA degree,2
76019,,Male,29,Some College or AA degree,6
76020,"10,000 to 14,999",Male,32,High School Grad/GED or equivalent,1
76023,"100,000 and Over",Male,67,College Graduate or above,2
76024,"100,000 and Over",Female,40,College Graduate or above,3
76025,"100,000 and Over",Male,51,College Graduate or above,1
76028,"20,000 to 24,999",Female,57,<9th Grade,2
76030,"75,000 to 99,999",Male,32,College Graduate or above,4
76032,"45,000 to 54,999",Male,18,College Graduate or above,3
76033,"25,000 to 34,999",Female,69,High School Grad/GED or equivalent,1
76034,"20,000 to 24,999",Female,20,High School Grad/GED or equivalent,1
76036,,Male,64,<9th Grade,1
76037,"20,000 to 24,999",Male,60,<9th Grade,2
76039,"35,000 to 44,999",Female,26,High School Grad/GED or equivalent,2
76040,"35,000 to 44,999",Female,60,College Graduate or above,1
76041,"55,000 to 64,999",Male,52,Some College or AA degree,3
76042,"35,000 to 44,999",Female,27,Some College or AA degree,4
76043,"20,000 and Over",Female,64,High School Grad/GED or equivalent,2
76046,"20,000 to 24,999",Male,50,High School Grad/GED or equivalent,4
76048,"45,000 to 54,999",Male,49,Some College or AA degree,7
76049,"55,000 to 64,999",Male,54,9th-11th Grade,5
76051,Refused,Male,50,Some College or AA degree,3
76054,"15,000 to 19,999",Female,22,Some College or AA degree,2
76055," 5,000 to  9,999",Female,18,High School Grad/GED or equivalent,3
76057,"35,000 to 44,999",Male,18,High School Grad/GED or equivalent,3
76059,"65,000 to 74,999",Male,21,High School Grad/GED or equivalent,2
76060,"100,000 and Over",Female,32,College Graduate or above,2
76062,"35,000 to 44,999",Male,30,Some College or AA degree,5
76064,"65,000 to 74,999",Male,42,College Graduate or above,1
76067,"55,000 to 64,999",Male,26,High School Grad/GED or equivalent,3
76069,"100,000 and Over",Male,44,College Graduate or above,4
76071,"100,000 and Over",Male,34,College Graduate or above,4
76072,"10,000 to 14,999",Male,73,<9th Grade,2
76073,"100,000 and Over",Male,21,College Graduate or above,5
76074,"55,000 to 64,999",Male,70,9th-11th Grade,3
76075,"45,000 to 54,999",Male,35,High School Grad/GED or equivalent,4
76076,"20,000 to 24,999",Female,51,College Graduate or above,4
76077,"15,000 to 19,999",Female,45,High School Grad/GED or equivalent,5
76078,"100,000 and Over",Male,48,Some College or AA degree,3
76079,"20,000 to 24,999",Female,19,9th-11th Grade,5
76081,"100,000 and Over",Male,35,College Graduate or above,5
76082,"100,000 and Over",Male,30,College Graduate or above,2
76084,"100,000 and Over",Male,48,High School Grad/GED or equivalent,4
76086,"25,000 to 34,999",Male,18,Some College or AA degree,4
76087,"100,000 and Over",Male,55,9th-11th Grade,7
76088,"100,000 and Over",Male,27,High School Grad/GED or equivalent,3
76090,"100,000 and Over",Male,44,,2
76091,"100,000 and Over",Female,66,Some College or AA degree,2
76092,Don't know,Female,74,Some College or AA degree,2
76094,"20,000 to 24,999",Male,18,<9th Grade,7
76095,Refused,Female,41,High School Grad/GED or equivalent,7
76096,"100,000 and Over",Male,37,Some College or AA degree,4
76097,"100,000 and Over",Female,66,College Graduate or above,2
76101,,Female,20,Some College or AA degree,3
76103,"100,000 and Over",Female,45,Some College or AA degree,5
76104,"75,000 to 99,999",Female,45,Some College or AA degree,7
76106,Don't know,Male,39,9th-11th Grade,5
76107,"20,000 to 24,999",Female,59,,5
76108,"100,000 and Over",Male,48,<9th Grade,5
76109,"45,000 to 54,999",Male,36,College Graduate or above,4
76110,"20,000 to 24,999",Male,22,High School Grad/GED or equivalent,7
76112,"100,000 and Over",Male,63,College Graduate or above,2
76114,,Male,18,College Graduate or above,2
76116,"Under 20,000",Male,68,Some College or AA degree,3
76117,"25,000 to 34,999",Female,72,Some College or AA degree,1
76118,"35,000 to 44,999",Female,60,,3
76119,"20,000 to 24,999",Male,49,High School Grad/GED or equivalent,6
76120,"35,000 to 44,999",Male,40,College Graduate or above,5
76126,"10,000 to 14,999",Female,27,High School Grad/GED or equivalent,4
76127,"100,000 and Over",Male,67,High School Grad/GED or equivalent,2
76128,,Female,74,Some College or AA degree,1
76129,"75,000 to 99,999",Female,41,College Graduate or above,1
76132,"15,000 to 19,999",Female,18,High School Grad/GED or equivalent,5
76133,"75,000 to 99,999",Female,47,Some College or AA degree,3
76134,"15,000 to 19,999",Male,58,Some College or AA degree,2
76136,"45,000 to 54,999",Female,53,<9th Grade,3
76137,"75,000 to 99,999",Male,56,Some College or AA degree,2
76138,"25,000 to 34,999",Female,39,Some College or AA degree,3
76139,"Under 20,000",Female,76,High School Grad/GED or equivalent,4
76140,"25,000 to 34,999",Female,27,High School Grad/GED or equivalent,4
76141,,Female,40,Some College or AA degree,5
76144,"10,000 to 14,999",Male,80,9th-11th Grade,1
76145,"100,000 and Over",Female,60,Some College or AA degree,2
76146,"25,000 to 34,999",Female,23,,4
76147,"20,000 and Over",Male,54,High School Grad/GED or equivalent,2
76148,"25,000 to 34,999",Female,32,College Graduate or above,2
76149,"65,000 to 74,999",Female,68,<9th Grade,3
76150," 5,000 to  9,999",Female,58,Some College or AA degree,1
76151," 5,000 to  9,999",Male,55,<9th Grade,2
76154,"45,000 to 54,999",Female,29,College Graduate or above,1
76156,"75,000 to 99,999",Male,61,9th-11th Grade,5
76157,"55,000 to 64,999",Female,50,College Graduate or above,1
76158,"10,000 to 14,999",Female,72,<9th Grade,2
76159,"25,000 to 34,999",Male,75,College Graduate or above,1
76160,"25,000 to 34,999",Female,25,High School Grad/GED or equivalent,4
76161,"25,000 to 34,999",Male,34,Some College or AA degree,2
76164,"10,000 to 14,999",Female,62,High School Grad/GED or equivalent,1
76167,Refused,Female,42,College Graduate or above,3
76168,"20,000 to 24,999",Male,52,9th-11th Grade,5
76169,"45,000 to 54,999",Female,43,College Graduate or above,2
76170,"100,000 and Over",Female,55,College Graduate or above,1
76171,"35,000 to 44,999",Male,80,College Graduate or above,1
76173,"45,000 to 54,999",Male,19,High School Grad/GED or equivalent,6
76174,"75,000 to 99,999",Male,21,High School Grad/GED or equivalent,2
76178,"100,000 and Over",Female,49,College Graduate or above,6
76179,"75,000 to 99,999",Female,54,College Graduate or above,3
76180,,Male,55,<9th Grade,7
76181,"20,000 to 24,999",Female,45,High School Grad/GED or equivalent,2
76184,"35,000 to 44,999",Male,59,College Graduate or above,4
76186,"20,000 and Over",Female,53,Some College or AA degree,4
76187,"100,000 and Over",Female,56,Some College or AA degree,7
76188,"10,000 to 14,999",Female,74,College Graduate or above,1
76190,"20,000 and Over",Male,48,,7
76191,"15,000 to 19,999",Female,18,High School Grad/GED or equivalent,6
76192,"35,000 to 44,999",Female,66,9th-11th Grade,5
76193,"10,000 to 14,999",Female,39,Some College or AA degree,4
76195,"35,000 to 44,999",Male,18,9th-11th Grade,5
76197,,Female,45,Some College or AA degree,4
76199,"25,000 to 34,999",Female,56,<9th Grade,3
76201,Refused,Male,64,Some College or AA degree,2
76204,"100,000 and Over",Female,45,College Graduate or above,5
76206,"55,000 to 64,999",Female,38,9th-11th Grade,5
76208,"100,000 and Over",Male,51,High School Grad/GED or equivalent,7
76209,"100,000 and Over",Male,59,College Graduate or above,2
76212,"55,000 to 64,999",Female,34,Some College or AA degree,4
76213,"65,000 to 74,999",Male,78,College Graduate or above,3
76214,"35,000 to 44,999",Female,18,,7
76215,"75,000 to 99,999",Female,43,Some College or AA degree,4
76217,"15,000 to 19,999",Female,53,<9th Grade,7
76218,"100,000 and Over",Female,36,College Graduate or above,4
76220,"100,000 and Over",Male,56,College Graduate or above,3
76223,"65,000 to 74,999",Male,76,Some College or AA degree,2
76224," 5,000 to  9,999",Female,74,<9th Grade,1
76225,"20,000 and Over",Male,80,,2
76226,"25,000 to 34,999",Male,43,Some College or AA degree,4
76227,"15,000 to 19,999",Female,26,Some College or AA degree,2
76230,"20,000 and Over",Male,24,College Graduate or above,2
76231,"55,000 to 64,999",Male,25,Some College or AA degree,3
76232,"15,000 to 19,999",Male,29,High School Grad/GED or equivalent,6
76233,"20,000 and Over",Female,54,<9th Grade,7
76235,"35,000 to 44,999",Female,76,Some College or AA degree,1
76236,"100,000 and Over",Female,40,High School Grad/GED or equivalent,4
76238,"35,000 to 44,999",Female,61,College Graduate or above,1
76240,"45,000 to 54,999",Male,35,High School Grad/GED or equivalent,7
76241,"100,000 and Over",Male,20,High School Grad/GED or equivalent,2
76242,"25,000 to 34,999",Female,19,High School Grad/GED or equivalent,5
76243,"20,000 and Over",Female,59,Some College or AA degree,3
76246,"20,000 to 24,999",Male,44,Some College or AA degree,5
76248,"100,000 and Over",Male,50,9th-11th Grade,5
76252,"25,000 to 34,999",Female,70,Some College or AA degree,3
76253,"15,000 to 19,999",Female,27,Some College or AA degree,6
76256,"100,000 and Over",Female,50,High School Grad/GED or equivalent,2
76261,"25,000 to 34,999",Male,20,Some College or AA degree,2
76264,"35,000 to 44,999",Male,80,College Graduate or above,1
76267,"45,000 to 54,999",Male,63,9th-11th Grade,3
76269,"100,000 and Over",Female,28,College Graduate or above,2
76270,"55,000 to 64,999",Female,24,9th-11th Grade,5
76271,"75,000 to 99,999",Male,61,College Graduate or above,1
76272,"75,000 to 99,999",Female,42,College Graduate or above,3
76276,Refused,Male,42,Some College or AA degree,5
76277,"15,000 to 19,999",Male,80,High School Grad/GED or equivalent,2
76281," 5,000 to  9,999",Female,49,Some College or AA degree,1
76282,"75,000 to 99,999",Female,62,Some College or AA degree,2
76284,"10,000 to 14,999",Male,29,Some College or AA degree,4
76285,"100,000 and Over",Male,40,College Graduate or above,5
76286,"15,000 to 19,999",Male,59,Some College or AA degree,1
76288," 5,000 to  9,999",Female,30,High School Grad/GED or equivalent,3
76289,"100,000 and Over",Female,24,High School Grad/GED or equivalent,4
76290,"45,000 to 54,999",Female,42,High School Grad/GED or equivalent,6
76292,,Male,44,Some College or AA degree,5
76294," 5,000 to  9,999",Male,72,9th-11th Grade,1
76295,"65,000 to 74,999",Male,41,High School Grad/GED or equivalent,2
76296,"100,000 and Over",Female,33,College Graduate or above,4
76297,"20,000 and Over",Male,40,Some College or AA degree,4
76298,"75,000 to 99,999",Female,57,College Graduate or above,3
76301,"100,000 and Over",Female,28,College Graduate or above,2
76302,"100,000 and Over",Male,49,Some College or AA degree,4
76303,"20,000 and Over",Female,43,9th-11th Grade,7
76304," 5,000 to  9,999",Female,18,9th-11th Grade,5
76305,"15,000 to 19,999",Male,18,High School Grad/GED or equivalent,4
76306,"100,000 and Over",Male,66,College Graduate or above,2
76307,"25,000 to 34,999",Female,41,9th-11th Grade,6
76310,"100,000 and Over",Female,50,Some College or AA degree,5
76312,"45,000 to 54,999",Female,65,Some College or AA degree,4
76313,"100,000 and Over",Female,27,College Graduate or above,3
76314,"100,000 and Over",Female,38,College Graduate or above,4
76316,"25,000 to 34,999",Female,45,Some College or AA degree,4
76317,Refused,Female,40,Some College or AA degree,5
76320,"55,000 to 64,999",Female,63,High School Grad/GED or equivalent,4
76322,"20,000 to 24,999",Female,43,,6
76325," 5,000 to  9,999",Male,64,High School Grad/GED or equivalent,1
76326,"55,000 to 64,999",Male,32,Some College or AA degree,2
76330,"10,000 to 14,999",Female,24,High School Grad/GED or equivalent,6
76333,"10,000 to 14,999",Female,80,High School Grad/GED or equivalent,5
76334,,Male,22,Some College or AA degree,4
76335,"35,000 to 44,999",Male,65,College Graduate or above,2
76342,"75,000 to 99,999",Female,43,High School Grad/GED or equivalent,7
76347,"20,000 to 24,999",Female,32,High School Grad/GED or equivalent,1
76348,Refused,Female,41,Some College or AA degree,4
76349,"15,000 to 19,999",Male,38,9th-11th Grade,2
76351," 5,000 to  9,999",Female,43,<9th Grade,2
76353,"55,000 to 64,999",Female,80,High School Grad/GED or equivalent,3
76354,"15,000 to 19,999",Male,54,High School Grad/GED or equivalent,5
76356,"10,000 to 14,999",Female,23,College Graduate or above,3
76363,,Female,73,9th-11th Grade,3
76365,"75,000 to 99,999",Male,55,Some College or AA degree,4
76366,"25,000 to 34,999",Female,37,Some College or AA degree,7
76367,"75,000 to 99,999",Male,42,College Graduate or above,3
76369,"25,000 to 34,999",Male,31,College Graduate or above,2
76371,"100,000 and Over",Male,18,<9th Grade,5
76372,"55,000 to 64,999",Female,42,High School Grad/GED or equivalent,7
76373,"100,000 and Over",Male,20,College Graduate or above,5
76375,"20,000 to 24,999",Female,30,Some College or AA degree,2
76376,"25,000 to 34,999",Female,56,Some College or AA degree,7
76377,"35,000 to 44,999",Male,36,High School Grad/GED or equivalent,3
76380," 5,000 to  9,999",Female,58,Some College or AA degree,2
76381,"10,000 to 14,999",Female,21,High School Grad/GED or equivalent,2
76383,"65,000 to 74,999",Male,23,College Graduate or above,5
76384,"20,000 to 24,999",Female,50,9th-11th Grade,7
76385,Refused,Male,57,Some College or AA degree,4
76387,"75,000 to 99,999",Female,25,College Graduate or above,3
76388,"25,000 to 34,999",Female,43,Some College or AA degree,5
76390," 5,000 to  9,999",Male,23,,5
76391,"10,000 to 14,999",Female,80,9th-11th Grade,1
76395,"35,000 to 44,999",Male,71,Don't know,3
76397,"15,000 to 19,999",Male,69,High School Grad/GED or equivalent,2
76399,Refused,Male,51,High School Grad/GED or equivalent,1
76400,"75,000 to 99,999",Male,61,College Graduate or above,3
76401,"25,000 to 34,999",Female,18,College Graduate or above,2
76402," 5,000 to  9,999",Female,80,High School Grad/GED or equivalent,2
76403,,Female,59,College Graduate or above,1
76404,,Female,68,High School Grad/GED or equivalent,3
76405,"75,000 to 99,999",Female,50,College Graduate or above,1
76406,"25,000 to 34,999",Male,36,Some College or AA degree,6
76407,"20,000 and Over",Female,41,College Graduate or above,2
76408,"10,000 to 14,999",Male,48,9th-11th Grade,6
76409,"10,000 to 14,999",Female,20,Some College or AA degree,4
76411,"15,000 to 19,999",Female,63,9th-11th Grade,2
76412,"75,000 to 99,999",Female,31,,4
76413,"10,000 to 14,999",Female,66,College Graduate or above,1
76415,"20,000 to 24,999",Male,25,College Graduate or above,5
76418,"100,000 and Over",Male,40,College Graduate or above,3
76422,"20,000 and Over",Male,69,,4
76423,"55,000 to 64,999",Female,74,Some College or AA degree,1
76424,"65,000 to 74,999",Male,60,College Graduate or above,2
76425,"75,000 to 99,999",Male,29,High School Grad/GED or equivalent,7
76427,"45,000 to 54,999",Male,37,College Graduate or above,2
76429,Refused,Male,63,9th-11th Grade,2
76432,"25,000 to 34,999",Male,18,Some College or AA degree,3
76433,"15,000 to 19,999",Male,44,9th-11th Grade,2
76434,"20,000 and Over",Male,50,<9th Grade,6
76435,"75,000 to 99,999",Female,69,College Graduate or above,2
76436,"25,000 to 34,999",Male,78,Some College or AA degree,1
76437,"10,000 to 14,999",Male,64,9th-11th Grade,2
76438,"25,000 to 34,999",Female,59,High School Grad/GED or equivalent,2
76439,"25,000 to 34,999",Male,28,<9th Grade,7
76440,"75,000 to 99,999",Female,49,Some College or AA degree,2
76442,"65,000 to 74,999",Female,78,Some College or AA degree,2
76443," 5,000 to  9,999",Male,63,<9th Grade,5
76444,"100,000 and Over",Female,51,College Graduate or above,5
76446,"25,000 to 34,999",Female,46,High School Grad/GED or equivalent,1
76447,"35,000 to 44,999",Female,80,College Graduate or above,1
76451,"20,000 to 24,999",Female,34,9th-11th Grade,6
76453,"100,000 and Over",Female,42,College Graduate or above,4
76455," 5,000 to  9,999",Female,69,Some College or AA degree,1
76459,"20,000 to 24,999",Male,33,Some College or AA degree,2
76461,"15,000 to 19,999",Female,52,Some College or AA degree,6
76464,"75,000 to 99,999",Male,33,Some College or AA degree,5
76465,"35,000 to 44,999",Female,71,Some College or AA degree,3
76466,"25,000 to 34,999",Female,39,Some College or AA degree,6
76468,"65,000 to 74,999",Male,73,9th-11th Grade,2
76469,"25,000 to 34,999",Male,72,Some College or AA degree,4
76470,Refused,Female,49,Some College or AA degree,2
76472,"55,000 to 64,999",Female,52,Refused,2
76475,"15,000 to 19,999",Female,72,9th-11th Grade,1
76476,"45,000 to 54,999",Female,39,Some College or AA degree,7
76477,"45,000 to 54,999",Female,73,Some College or AA degree,3
76480,"100,000 and Over",Female,24,High School Grad/GED or equivalent,5
76481,"100,000 and Over",Female,67,College Graduate or above,6
76482,"25,000 to 34,999",Female,42,Some College or AA degree,1
76484,"35,000 to 44,999",Male,63,9th-11th Grade,4
76486,"25,000 to 34,999",Female,24,9th-11th Grade,5
76487,"25,000 to 34,999",Female,23,Some College or AA degree,5
76488,"20,000 to 24,999",Male,41,<9th Grade,5
76489,"65,000 to 74,999",Male,39,Some College or AA degree,5
76490,"65,000 to 74,999",Female,68,College Graduate or above,2
76491,"35,000 to 44,999",Female,23,Some College or AA degree,2
76492,"100,000 and Over",Female,55,College Graduate or above,2
76493,Refused,Male,38,Some College or AA degree,4
76494,"20,000 to 24,999",Male,29,Some College or AA degree,3
76496," 5,000 to  9,999",Female,23,9th-11th Grade,4
76500,"100,000 and Over",Female,20,College Graduate or above,4
76506,"25,000 to 34,999",Female,20,High School Grad/GED or equivalent,5
76508,"20,000 to 24,999",Female,55,Some College or AA degree,1
76509,"20,000 and Over",Male,24,,4
76510,"10,000 to 14,999",Female,52,,2
76511,"15,000 to 19,999",Female,52,High School Grad/GED or equivalent,2
76514,"55,000 to 64,999",Female,26,College Graduate or above,2
76515,"10,000 to 14,999",Female,72,<9th Grade,1
76518,"10,000 to 14,999",Male,47,Some College or AA degree,1
76523,,Female,30,9th-11th Grade,5
76524,"100,000 and Over",Male,18,College Graduate or above,4
76527,"65,000 to 74,999",Male,68,College Graduate or above,2
76528,"100,000 and Over",Female,43,,5
76529,"35,000 to 44,999",Female,18,High School Grad/GED or equivalent,3
76530,"15,000 to 19,999",Female,80,<9th Grade,1
76531,"100,000 and Over",Male,80,College Graduate or above,4
76532,"10,000 to 14,999",Male,38,Some College or AA degree,1
76533,"35,000 to 44,999",Male,67,Some College or AA degree,2
76534,"20,000 to 24,999",Male,52,Some College or AA degree,3
76536,"100,000 and Over",Female,37,Some College or AA degree,4
76539,"100,000 and Over",Female,36,College Graduate or above,5
76540,"55,000 to 64,999",Male,69,College Graduate or above,2
76541,"25,000 to 34,999",Male,26,9th-11th Grade,2
76542,"25,000 to 34,999",Female,64,High School Grad/GED or equivalent,7
76543,"25,000 to 34,999",Male,40,College Graduate or above,7
76548,"45,000 to 54,999",Male,62,High School Grad/GED or equivalent,3
76549," 5,000 to  9,999",Male,74,<9th Grade,1
76550,"25,000 to 34,999",Male,70,High School Grad/GED or equivalent,2
76551,"100,000 and Over",Female,56,College Graduate or above,3
76552,"15,000 to 19,999",Female,31,Some College or AA degree,5
76553,"100,000 and Over",Male,22,Some College or AA degree,7
76556,"55,000 to 64,999",Male,45,High School Grad/GED or equivalent,5
76557,"20,000 to 24,999",Male,54,9th-11th Grade,5
76558,"75,000 to 99,999",Female,64,High School Grad/GED or equivalent,3
76560,"45,000 to 54,999",Male,57,College Graduate or above,2
76561,"10,000 to 14,999",Male,61,Some College or AA degree,4
76565,"75,000 to 99,999",Female,80,College Graduate or above,2
76567,"100,000 and Over",Female,20,Some College or AA degree,4
76568,"65,000 to 74,999",Female,64,College Graduate or above,2
76569,"15,000 to 19,999",Male,45,High School Grad/GED or equivalent,4
76571,"75,000 to 99,999",Male,57,High School Grad/GED or equivalent,2
76573,"75,000 to 99,999",Female,41,College Graduate or above,3
76574,"20,000 to 24,999",Female,38,Some College or AA degree,6
76575,"100,000 and Over",Female,69,College Graduate or above,3
76576,"75,000 to 99,999",Female,80,College Graduate or above,1
76577,"25,000 to 34,999",Female,23,Some College or AA degree,4
76578,"45,000 to 54,999",Male,43,High School Grad/GED or equivalent,2
76580,"35,000 to 44,999",Female,71,College Graduate or above,2
76584,"100,000 and Over",Female,49,College Graduate or above,2
76586," 5,000 to  9,999",Female,45,High School Grad/GED or equivalent,1
76587,"100,000 and Over",Male,62,<9th Grade,7
76589,"10,000 to 14,999",Male,38,High School Grad/GED or equivalent,1
76590,"45,000 to 54,999",Female,67,High School Grad/GED or equivalent,1
76591,"100,000 and Over",Female,28,College Graduate or above,4
76593," 5,000 to  9,999",Male,76,High School Grad/GED or equivalent,1
76596,"45,000 to 54,999",Female,46,Some College or AA degree,4
76597,"20,000 to 24,999",Female,41,Some College or AA degree,5
76598,"55,000 to 64,999",Male,40,Some College or AA degree,4
76599,Refused,Male,63,High School Grad/GED or equivalent,7
76600,,Female,40,<9th Grade,7
76601,"65,000 to 74,999",Male,39,College Graduate or above,5
76602,"10,000 to 14,999",Female,40,Some College or AA degree,2
76604,"20,000 to 24,999",Male,61,Some College or AA degree,2
76606,"100,000 and Over",Female,57,Some College or AA degree,3
76608,"Under 20,000",Female,38,Some College or AA degree,5
76609,"15,000 to 19,999",Female,21,Some College or AA degree,6
76612,"100,000 and Over",Male,62,High School Grad/GED or equivalent,4
76613,"100,000 and Over",Male,32,College Graduate or above,3
76614,"100,000 and Over",Female,41,Some College or AA degree,2
76615,"25,000 to 34,999",Male,69,9th-11th Grade,3
76616,"75,000 to 99,999",Female,69,College Graduate or above,2
76617,"20,000 to 24,999",Male,18,9th-11th Grade,4
76619,"10,000 to 14,999",Female,31,College Graduate or above,1
76622,"25,000 to 34,999",Male,22,High School Grad/GED or equivalent,4
76623,"25,000 to 34,999",Male,41,9th-11th Grade,3
76624,"15,000 to 19,999",Male,51,9th-11th Grade,1
76626,"75,000 to 99,999",Female,51,College Graduate or above,2
76627,"20,000 to 24,999",Female,76,9th-11th Grade,4
76629,"75,000 to 99,999",Male,25,Some College or AA degree,3
76630," 5,000 to  9,999",Female,39,Some College or AA degree,1
76631,"15,000 to 19,999",Female,80,<9th Grade,1
76632,"65,000 to 74,999",Male,49,High School Grad/GED or equivalent,2
76633,"100,000 and Over",Male,48,College Graduate or above,2
76634,"35,000 to 44,999",Female,43,High School Grad/GED or equivalent,6
76635,"100,000 and Over",Male,59,College Graduate or above,2
76636,"25,000 to 34,999",Female,29,9th-11th Grade,3
76637,"35,000 to 44,999",Female,42,High School Grad/GED or equivalent,3
76638,"35,000 to 44,999",Female,63,Some College or AA degree,1
76639,,Male,43,High School Grad/GED or equivalent,3
76641,"20,000 to 24,999",Female,42,Some College or AA degree,5
76642,"55,000 to 64,999",Female,40,High School Grad/GED or equivalent,4
76643,"75,000 to 99,999",Female,41,Some College or AA degree,5
76645,"45,000 to 54,999",Male,52,Some College or AA degree,1
76648,"20,000 and Over",Female,74,High School Grad/GED or equivalent,4
76649,"10,000 to 14,999",Male,59,Some College or AA degree,1
76653,"20,000 and Over",Female,66,College Graduate or above,2
76654,"100,000 and Over",Female,45,High School Grad/GED or equivalent,2
76655," 5,000 to  9,999",Female,64,High School Grad/GED or equivalent,1
76656,"35,000 to 44,999",Female,23,High School Grad/GED or equivalent,3
76657,Refused,Female,49,Some College or AA degree,4
76659,"20,000 and Over",Female,36,Some College or AA degree,3
76660,"10,000 to 14,999",Female,74,High School Grad/GED or equivalent,1
76663,,Male,71,9th-11th Grade,6
76665,"100,000 and Over",Female,44,College Graduate or above,4
76666,"10,000 to 14,999",Female,65,Some College or AA degree,2
76667,"100,000 and Over",Female,52,College Graduate or above,3
76668,"100,000 and Over",Female,45,Some College or AA degree,2
76669,"55,000 to 64,999",Male,63,High School Grad/GED or equivalent,7
76670,"65,000 to 74,999",Male,49,High School Grad/GED or equivalent,2
76671,"100,000 and Over",Female,40,College Graduate or above,6
76672,"10,000 to 14,999",Female,45,High School Grad/GED or equivalent,3
76673,"75,000 to 99,999",Male,80,High School Grad/GED or equivalent,2
76674,"20,000 to 24,999",Female,42,9th-11th Grade,7
76675,"100,000 and Over",Male,48,College Graduate or above,4
76676,"45,000 to 54,999",Male,41,9th-11th Grade,7
76677,"25,000 to 34,999",Female,18,Some College or AA degree,5
76679,"15,000 to 19,999",Female,69,Some College or AA degree,1
76680,"100,000 and Over",Female,61,Some College or AA degree,5
76684,"35,000 to 44,999",Female,47,College Graduate or above,1
76686,Refused,Male,34,High School Grad/GED or equivalent,7
76687,"20,000 to 24,999",Male,79,Some College or AA degree,1
76688,"35,000 to 44,999",Male,68,College Graduate or above,1
76689,"35,000 to 44,999",Female,69,Some College or AA degree,1
76691,Don't know,Male,38,Some College or AA degree,3
76692,"55,000 to 64,999",Female,58,Some College or AA degree,2
76695,"15,000 to 19,999",Female,80,High School Grad/GED or equivalent,1
76697,"25,000 to 34,999",Male,24,High School Grad/GED or equivalent,4
76698,"45,000 to 54,999",Female,66,High School Grad/GED or equivalent,6
76700,"15,000 to 19,999",Male,53,9th-11th Grade,3
76702,"15,000 to 19,999",Male,62,Some College or AA degree,2
76703,"20,000 to 24,999",Male,36,High School Grad/GED or equivalent,1
76704,"15,000 to 19,999",Female,50,Some College or AA degree,2
76705,"25,000 to 34,999",Female,50,9th-11th Grade,3
76706,"45,000 to 54,999",Male,60,,7
76707,"20,000 to 24,999",Female,46,Some College or AA degree,2
76708,,Male,23,College Graduate or above,1
76709,"25,000 to 34,999",Male,74,,2
76712,"100,000 and Over",Male,36,Some College or AA degree,2
76714,"20,000 to 24,999",Female,72,9th-11th Grade,7
76715,"25,000 to 34,999",Male,74,High School Grad/GED or equivalent,2
76716,"20,000 to 24,999",Female,18,High School Grad/GED or equivalent,3
76718,"20,000 to 24,999",Female,40,Some College or AA degree,4
76719,"45,000 to 54,999",Female,39,High School Grad/GED or equivalent,5
76722,"100,000 and Over",Male,73,Some College or AA degree,2
76723,"100,000 and Over",Female,48,High School Grad/GED or equivalent,5
76730,"15,000 to 19,999",Male,58,9th-11th Grade,2
76731,"65,000 to 74,999",Male,41,Some College or AA degree,3
76732,"75,000 to 99,999",Female,19,,4
76733,"35,000 to 44,999",Male,77,High School Grad/GED or equivalent,2
76734,"45,000 to 54,999",Female,80,Some College or AA degree,2
76735,"10,000 to 14,999",Female,58,9th-11th Grade,3
76736,"100,000 and Over",Female,30,College Graduate or above,2
76737,"100,000 and Over",Female,28,College Graduate or above,3
76738,"100,000 and Over",Female,63,College Graduate or above,5
76739,"15,000 to 19,999",Female,80,9th-11th Grade,1
76740,"100,000 and Over",Female,40,College Graduate or above,4
76741,"10,000 to 14,999",Female,68,High School Grad/GED or equivalent,1
76742,"100,000 and Over",Male,40,College Graduate or above,2
76745,"75,000 to 99,999",Male,70,<9th Grade,7
76746,Refused,Male,55,College Graduate or above,1
76747,"10,000 to 14,999",Female,80,9th-11th Grade,1
76751,"65,000 to 74,999",Female,36,9th-11th Grade,3
76753,"65,000 to 74,999",Male,61,Some College or AA degree,6
76754,"100,000 and Over",Male,76,Some College or AA degree,2
76755,"75,000 to 99,999",Female,42,Some College or AA degree,6
76756,"15,000 to 19,999",Male,44,<9th Grade,4
76757,"35,000 to 44,999",Male,79,High School Grad/GED or equivalent,3
76764,"100,000 and Over",Female,61,College Graduate or above,3
76767,"45,000 to 54,999",Female,25,High School Grad/GED or equivalent,2
76769,"25,000 to 34,999",Female,19,High School Grad/GED or equivalent,4
76771,Refused,Male,33,Some College or AA degree,6
